id,siblings_id,arb_sample,arb_attention_check,arb_distractions,arb_sped,arb_csd,arb_eco_shift,arb_abs_shift,age,test_envr,unp_perceived,unp_interview,unp_agg,vio_neighborhood,vio_fighting,vio_agg,ses_perceived,ses_interview,ses_school,ses_agg,abs_shifting_sc,eco_shifting_sc,abs_updating,eco_updating
p0015,wjms_sibling_250,wjms,0,0,0,3,30,28,14,1.25,1.6666666666666667,-0.7931382738148606,-0.7043957352917302,1.2857142857142858,2,-0.5493123584673723,3.1666666666666665,0.6609488377724657,-0.5,-0.2221977196089903,165.46153846153857,-161.52747252747258,0.8,0.6
p0016,sibling_000,wjms,1,0,0,3,31,28,14,1.25,2.8333333333333335,0.09451321624557076,0.6327235068231605,2.4285714285714284,2.5,0.3886654550659276,3.3333333333333335,0.09745632915427725,0.5,-0.0220148451197483,57.3776223776224,31.677884615384528,0.6666666666666666,0.7333333333333333
p0017,sibling_000,wjms,0,0,0,4,32,28,14,1.75,1.3333333333333333,-0.7931382738148606,-0.9329751375778845,1.5714285714285714,2.5,-0.18402503272630788,4.666666666666667,0.5634122965900447,0.5,0.8210264566381476,133.79487179487182,354.9375,0.6,0.9333333333333333
p0018,sibling_000,wjms,0,0,0,4,25,30,14,2,2,-0.7931382738148606,-0.4758163330055759,1.4285714285714286,1,-0.8026449367893047,3.1666666666666665,0.8884019417307362,-0.5,-0.13493489004126835,192.75897435897446,711.2166666666666,0.8666666666666667,0.7333333333333333
p0019,sibling_000,wjms,0,0,0,6,24,26,14,1,1.6666666666666667,-0.7931382738148606,-0.7043957352917302,1.2857142857142858,1.5,-0.723702854944358,4.333333333333333,1.337619199054433,0.5,0.9519833584881551,-240.89999999999998,-36.25,0.8666666666666667,0.9333333333333333
p0020,sibling_000,wjms,0,0,1,4,21,28,14,1,1.5,-0.7931382738148606,-0.8186854364348074,1.7142857142857142,2.5,-0.08857661809426869,4.333333333333333,-0.16485716272688183,0.5,0.3755553546227611,-62.045454545454504,150.03174603174602,0.7333333333333333,0.6
p0021,sibling_000,wjms,0,0,0,8,28,31,14,1,1.6666666666666667,-0.7931382738148606,-0.7043957352917302,3.2857142857142856,5.5,2.007698921720078,5,0.19531135870702743,-0.5,0.5125395714948265,43.91904761904766,-1.727272727272748,0.8,0.7333333333333333
p0022,wjms_sibling_070,wjms,0,0,0,4,30,31,14,1,2.8333333333333335,0.8815956830753323,1.1089635367227821,1.4285714285714286,1,-0.8026449367893047,2.8333333333333335,-0.18679555982495483,-0.5,-0.7135056160903582,468.1333333333332,181.8296703296702,0.7333333333333333,0.8666666666666667
p0023,sibling_000,wjms,0,0,0,8,27,31,15,1.25,1,-0.7931382738148606,-1.161554539864039,1.1428571428571428,2,-0.6447607730994116,4.5,0.6378905053188973,0.5,0.7665656199456834,155.02857142857147,130.05769230769226,0.8,0.9333333333333333
p0024,sibling_000,wjms,0,0,0,2,28,30,14,2,3.1666666666666665,0.8815956830753323,1.3375429390089364,1.4285714285714286,2,-0.45386394383533296,3.1666666666666665,-1.341582182655182,-0.5,-0.9904726743078448,8.928571428571331,827.6363636363635,0.6,0.4666666666666667
p0025,sibling_000,wjms,0,0,NA,5,30,28,13,1.25,1.5,-0.7931382738148606,-0.8186854364348074,1.4285714285714286,2,-0.45386394383533296,3.3333333333333335,-1.1406732676824902,NA,-0.9955385409990299,103.96503496503487,1093.901098901099,0.4,0.6666666666666666
p0026,sibling_000,wjms,0,0,0,2,22,29,14,1.25,1.5,-0.7931382738148606,-0.8186854364348074,1.2857142857142858,3.5,-0.026140869036414716,4.166666666666667,-0.6275693635189155,0.5,0.1150003634181828,280.5512820512822,-55.78787878787887,0.8666666666666667,0.8666666666666667
p0027,sibling_000,wjms,0,0,0,3,28,29,15,1,3.3333333333333335,-0.3918733414397371,0.6812946700278819,2.857142857142857,3.5,1.0237916919160173,3.3333333333333335,1.564993008916545,0.5,0.5410084811918151,164.79999999999995,-40.59848484848476,1,1
p0028,wjms_sibling_140,wjms,0,0,0,6,31,28,14,1,1.5,-0.7931382738148606,-0.8186854364348074,2.2857142857142856,3,0.4676075369108742,4.333333333333333,0.5778755673152208,-0.5,0.3271728903174613,59.846153846153925,476.88333333333344,0.9333333333333333,0.9333333333333333
