id,sample_code,interviewer,site,classroom,sex,ethnicity,age,has_sibling,non_arb_impaired_assent,non_arb_impaired,non_arb_attention_check,non_arb_q_responses,non_arb_sped_60min,non_arb_distractions,arb_sped,test_envr_noisy,test_envr_chaotic,test_envr_interrupted,test_envr_distracted,test_envr,csd1,csd2,csd3,csd4,csd5,csd6,csd7,csd8,csd9,csd,unp_perceived1,unp_perceived2,unp_perceived3,unp_perceived4,unp_perceived5,unp_perceived6,unp_perceived,unp_interview_disrupted,unp_interview_figures,unp_interview_moves,vio_neighborhood1,vio_neighborhood2,vio_neighborhood3,vio_neighborhood4,vio_neighborhood5,vio_neighborhood6,vio_neighborhood7,vio_neighborhood,vio_fighting1,vio_fighting2,vio_fighting,ses_perceived1,ses_perceived2,ses_perceived3,ses_perceived4,ses_perceived5,ses_perceived6,ses_perceived7,ses_perceived,ses_interview_edu,ses_interview_occup,ses_school_freelunch,eco_shifting_correct,eco_shifting_sc,abs_shifting_correct,abs_shifting_sc,eco_updating_r1_correct,eco_updating_r2_correct,eco_updating_r3_correct,eco_updating_r4_correct,eco_updating_r5_correct,eco_updating,abs_updating_r1_correct,abs_updating_r2_correct,abs_updating_r3_correct,abs_updating_r4_correct,abs_updating_r5_correct,abs_updating,siblings_n,siblings_id
p0361,wjms,BM,wjms,wi_p5_2019,2,1,13,0,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,1,2,1,2,1,1,1,6,5,1,2,2,1,1,1.3333333333333333,0,0,0,5,1,4,1,1,1,1,1.1428571428571428,2,1,1.5,5,5,5,5,3,3,1,4.333333333333333,2.5,66.0451354980469,0,31,442.13750000000005,32,-133.6875,3,2,1,1,1,0.5333333333333333,1,3,1,0,2,0.4666666666666667,525,sibling_000
p0362,wjms,BM,wjms,wi_p3_2019,1,1,13,1,0,0,0,0,0,0,0,2,1,1,1,1.25,2,2,1,2,2,1,1,1,1,4,4,2,3,2,1,2,2,3,1,2,4,2,3,2,1,2,2,2,3,2,2.5,4,4,4,4,3,4,2,3.8333333333333335,2.5,34.9683532714844,0,30,532.7230769230769,30,173.64285714285722,3,3,3,3,2,0.9333333333333333,3,3,3,1,2,0.8,2,wjms_sibling_300
p0363,wjms,BM,wjms,wi_p3_2019,1,6,13,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,1,2,1,10,5,4,1,2,3,1,2,0,0,1,5,2,5,3,1,1,1,1.4285714285714286,3,2,2.5,5,5,5,5,2,2,1,4,0,34.3856563568115,1,21,53.59999999999991,32,-239.9124999999999,2,3,0,1,1,0.4666666666666667,1,3,0,3,1,0.5333333333333333,2,wjms_sibling_240
p0364,wjms,BM,wjms,wi_p7_2019,1,6,13,0,0,0,0,0,0,0,0,2,1,1,1,1.25,2,1,2,2,1,2,2,1,1,10,3,2,2,2,1,1,1.8333333333333333,0,0,0,5,1,5,1,1,1,1,1,3,1,2,5,5,5,5,4,4,2,4.666666666666667,0,33.24845695495605,1,32,218.25,30,-202.80512820512809,3,3,3,3,2,0.9333333333333333,2,3,3,3,3,0.9333333333333333,525,sibling_000
p0365,wjms,MJ,wjms,wi_p7_2019,1,1,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,2,1,2,1,1,3,4,1,1,2,1,1,1.3333333333333333,0,0,0,5,1,4,1,1,2,1,1.2857142857142858,3,1,2,5,5,5,5,2,2,2,4,2,60.67557525634765,0,31,620.5,29,-77.58974358974365,3,3,2,0,3,0.7333333333333333,3,3,3,2,0,0.7333333333333333,525,sibling_000
p0366,wjms,AG,wjms,wi_p7_2019,1,1,14,1,0,0,0,0,0,0,0,2,1,1,1,1.25,1,1,1,1,1,2,1,1,1,6,5,1,2,1,1,1,1.1666666666666667,0,0,1,4,2,4,2,2,3,2,2.142857142857143,4,1,2.5,5,5,5,5,4,5,2,4.833333333333333,2,39.813960075378446,0,30,271.30219780219784,31,226.10476190476197,3,3,3,3,2,0.9333333333333333,3,3,3,1,2,0.8,2,wjms_sibling_180
p0367,wjms,BM,wjms,wi_p2_2019,2,1,14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,5,1,1,2,1,1,1.1666666666666667,0,0,0,5,1,5,1,1,1,1,1,3,1,2,5,5,5,5,3,4,3,4.5,2,34.8640842437744,0,31,180.34871794871788,30,110.17619047619041,2,3,1,1,0,0.4666666666666667,3,1,3,2,2,0.7333333333333333,525,sibling_000
p0368,wjms,MJ,wjms,wi_p2_2019,1,1,13,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,1,1,1,1,8,4,1,1,3,1,1,1.5,1,2,2,4,1,3,1,1,1,1,1.4285714285714286,2,2,2,4,4,4,4,2,2,1,3.3333333333333335,2,33.2613134384155,0,30,162.03076923076924,30,225.3461538461538,3,3,3,2,3,0.9333333333333333,3,3,3,2,3,0.9333333333333333,525,sibling_000
p0369,wjms,AG,wjms,wi_p4_2019,2,6,13,0,0,0,0,0,0,0,0,3,2,1,2,2,1,1,1,1,2,1,2,1,1,2,5,2,2,2,1,1,1.5,0,0,0,5,2,3,1,1,2,1,1.5714285714285714,3,1,2,4,4,5,3,2,2,1,3.3333333333333335,0,53.1847457885742,1,30,233.8666666666668,29,188.8571428571429,0,3,2,1,3,0.6,3,3,3,1,1,0.7333333333333333,525,sibling_000
p0370,wjms,BM,wjms,wi_p4_2019,2,1,13,0,0,0,1,0,0,0,0,2,1,1,1,1.25,2,1,2,2,1,2,1,2,2,13,5,1,2,1,1,1,1.1666666666666667,0,0,0,4,1,4,1,1,2,1,1.4285714285714286,1,1,1,5,5,5,5,3,2,1,4.166666666666667,3,53.02398300170895,0,32,436.625,31,237.89523809523803,1,3,3,2,1,0.6666666666666666,2,3,3,2,2,0.8,525,sibling_000
p0371,wjms,BM,wjms,wi_p4_2019,1,6,13,0,0,0,0,0,0,0,0,3,1,2,1,1.75,1,1,1,1,2,1,1,1,1,3,5,1,5,1,1,1,1.6666666666666667,0,0,1,5,1,5,1,1,1,5,1.5714285714285714,3,4,3.5,5,5,5,5,1,1,1,3.6666666666666665,1,37.49394607543945,0,22,87.92207792207796,27,249.76666666666665,2,3,3,0,0,0.5333333333333333,1,3,2,1,2,0.6,525,sibling_000
p0372,wjms,MJ,wjms,wi_p2_2019,2,1,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,2,3,2,1,1,1.8333333333333333,0,0,0,4,1,4,1,1,2,4,1.8571428571428572,2,1,1.5,4,4,4,4,3,3,4,3.6666666666666665,1,38.392856597900405,0,31,185.04285714285743,32,440.8125,2,3,3,1,2,0.7333333333333333,3,3,3,2,1,0.8,525,sibling_000
p0373,wjms,BM,wjms,wi_p6_2019,1,1,13,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,1,2,1,2,4,1,3,5,1,1,2,2.8333333333333335,NA,0,4,3,5,1,5,3,4,5,4.285714285714286,5,8,6.5,2,4,2,4,4,5,3,3.5,1,42.9276313781738,0,25,336.8545454545456,27,495.82051282051293,1,3,2,2,1,0.6,1,1,3,2,0,0.4666666666666667,525,sibling_000
p0374,wjms,AG,wjms,wi_p2_2019,1,1,13,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,1,1,2,9,5,2,1,1,1,3,1.5,2,3,1,5,1,5,1,1,1,1,1,5,1,3,5,5,5,5,1,1,1,3.6666666666666665,2.5,33.6584644317627,1,25,-159.63095238095252,26,97.27272727272725,1,2,1,1,1,0.4,3,3,1,1,2,0.6666666666666666,525,sibling_000
p0375,wjms,MJ,wjms,wi_p2_2019,2,6,13,0,0,0,0,0,0,0,0,2,1,1,2,1.5,1,1,1,1,1,2,1,2,1,6,4,2,2,1,1,2,1.6666666666666667,1,2,0,5,1,3,1,1,1,2,1.4285714285714286,3,1,2,5,5,5,5,3,2,2,4.166666666666667,NA,24.6154670715332,1,29,-182.70000000000005,32,-345.5,1,3,3,2,3,0.8,2,3,2,2,2,0.7333333333333333,525,sibling_000
p0376,wjms,MJ,wjms,wi_p7_2019,2,1,13,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,1,2,1,2,1,9,5,1,1,1,1,1,1,0,0,0,5,1,4,1,1,1,4,1.5714285714285714,1,1,1,5,5,5,5,4,3,1,4.5,2,35.346591949462905,0,30,528.5,25,233.44444444444446,2,3,3,2,2,0.8,3,3,2,2,3,0.8666666666666667,2,wjms_sibling_430
p0377,wjms,MJ,wjms,tr_p3_2019,1,1,14,0,0,0,NA,0,0,1,0,2,1,1,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,43.2296962738037,1,32,848.3076923076924,30,732.6043956043956,2,3,3,2,3,0.8666666666666667,0,3,3,2,1,0.6,525,sibling_000
p0378,wjms,MJ,wjms,wi_p5_2019,2,1,13,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,2,2,2,1,1,2,9,5,1,2,1,1,1,1.1666666666666667,0,0,0,5,1,5,1,1,2,1,1.1428571428571428,1,1,1,5,5,5,5,5,5,1,5,3,57.25333786010745,0,25,-170.08333333333326,30,11.571428571428555,3,3,3,1,2,0.8,1,3,2,2,1,0.6,525,sibling_000
